image_id,image_path,fashionpedia_category,clothing_type_hint,environment,clothing_type,color,vibe
23,fashionpedia_000023.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,casual relaxed
25,fashionpedia_000025.jpg,2,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,red,trendy streetwear
26,fashionpedia_000026.jpg,13,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,trendy streetwear
27,fashionpedia_000027.jpg,6,casual hoodie or t-shirt,urban street,outerwear jacket or coat,blue,casual relaxed
28,fashionpedia_000028.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
29,fashionpedia_000029.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,professional formal
30,fashionpedia_000030.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,professional formal
31,fashionpedia_000031.jpg,1,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,gray,trendy streetwear
32,fashionpedia_000032.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,professional formal
33,fashionpedia_000033.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
34,fashionpedia_000034.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,pink,professional formal
35,fashionpedia_000035.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,red,trendy streetwear
36,fashionpedia_000036.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,professional formal
37,fashionpedia_000037.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,red,professional formal
38,fashionpedia_000038.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
39,fashionpedia_000039.jpg,31,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,casual relaxed
40,fashionpedia_000040.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
41,fashionpedia_000041.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,professional formal
42,fashionpedia_000042.jpg,29,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,cozy comfortable
43,fashionpedia_000043.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,pink,casual relaxed
44,fashionpedia_000044.jpg,11,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,professional formal
45,fashionpedia_000045.jpg,11,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,pink,casual relaxed
46,fashionpedia_000046.jpg,1,casual hoodie or t-shirt,park outdoors,casual hoodie or t-shirt,green,casual relaxed
47,fashionpedia_000047.jpg,0,casual hoodie or t-shirt,park outdoors,outerwear jacket or coat,red,trendy streetwear
48,fashionpedia_000048.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,green,casual relaxed
49,fashionpedia_000049.jpg,1,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,professional formal
50,fashionpedia_000050.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
51,fashionpedia_000051.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,pink,professional formal
52,fashionpedia_000052.jpg,4,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,gray,professional formal
53,fashionpedia_000053.jpg,19,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,pink,professional formal
54,fashionpedia_000054.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
55,fashionpedia_000055.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,trendy streetwear
56,fashionpedia_000056.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,professional formal
57,fashionpedia_000057.jpg,7,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
59,fashionpedia_000059.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,casual relaxed
60,fashionpedia_000060.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,trendy streetwear
61,fashionpedia_000061.jpg,33,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,casual relaxed
62,fashionpedia_000062.jpg,8,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,cozy comfortable
63,fashionpedia_000063.jpg,27,casual hoodie or t-shirt,park outdoors,casual hoodie or t-shirt,blue,professional formal
64,fashionpedia_000064.jpg,14,casual hoodie or t-shirt,park outdoors,formal blazer or button-down shirt,yellow,casual relaxed
65,fashionpedia_000065.jpg,31,casual hoodie or t-shirt,urban street,outerwear jacket or coat,gray,casual relaxed
66,fashionpedia_000066.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
67,fashionpedia_000067.jpg,23,casual hoodie or t-shirt,office interior,formal blazer or button-down shirt,blue,casual relaxed
68,fashionpedia_000068.jpg,11,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
69,fashionpedia_000069.jpg,4,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,green,trendy streetwear
70,fashionpedia_000070.jpg,4,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,gray,cozy comfortable
71,fashionpedia_000071.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
72,fashionpedia_000072.jpg,31,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
73,fashionpedia_000073.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,professional formal
74,fashionpedia_000074.jpg,31,casual hoodie or t-shirt,urban street,outerwear jacket or coat,blue,professional formal
76,fashionpedia_000076.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,pink,casual relaxed
77,fashionpedia_000077.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,casual relaxed
78,fashionpedia_000078.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,professional formal
79,fashionpedia_000079.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
80,fashionpedia_000080.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,casual relaxed
81,fashionpedia_000081.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
82,fashionpedia_000082.jpg,23,casual hoodie or t-shirt,office interior,formal blazer or button-down shirt,yellow,professional formal
83,fashionpedia_000083.jpg,31,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,casual relaxed
84,fashionpedia_000084.jpg,33,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,professional formal
85,fashionpedia_000085.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,casual relaxed
86,fashionpedia_000086.jpg,4,casual hoodie or t-shirt,urban street,outerwear jacket or coat,gray,trendy streetwear
87,fashionpedia_000087.jpg,31,casual hoodie or t-shirt,urban street,outerwear jacket or coat,pink,cozy comfortable
88,fashionpedia_000088.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,casual relaxed
89,fashionpedia_000089.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
90,fashionpedia_000090.jpg,11,casual hoodie or t-shirt,office interior,outerwear jacket or coat,orange,trendy streetwear
91,fashionpedia_000091.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,professional formal
92,fashionpedia_000092.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
94,fashionpedia_000094.jpg,3,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
95,fashionpedia_000095.jpg,4,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,gray,professional formal
96,fashionpedia_000096.jpg,28,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,gray,professional formal
97,fashionpedia_000097.jpg,8,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,professional formal
98,fashionpedia_000098.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,professional formal
99,fashionpedia_000099.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,green,casual relaxed
100,fashionpedia_000100.jpg,13,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,cozy comfortable
101,fashionpedia_000101.jpg,1,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,blue,cozy comfortable
102,fashionpedia_000102.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,professional formal
103,fashionpedia_000103.jpg,0,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,trendy streetwear
104,fashionpedia_000104.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,casual relaxed
105,fashionpedia_000105.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,trendy streetwear
106,fashionpedia_000106.jpg,6,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
107,fashionpedia_000107.jpg,3,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,white,casual relaxed
108,fashionpedia_000108.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,casual relaxed
109,fashionpedia_000109.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,gray,trendy streetwear
110,fashionpedia_000110.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,orange,casual relaxed
111,fashionpedia_000111.jpg,6,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,casual relaxed
112,fashionpedia_000112.jpg,25,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,blue,trendy streetwear
113,fashionpedia_000113.jpg,18,casual hoodie or t-shirt,park outdoors,casual hoodie or t-shirt,red,trendy streetwear
114,fashionpedia_000114.jpg,15,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,professional formal
115,fashionpedia_000115.jpg,15,casual hoodie or t-shirt,urban street,outerwear jacket or coat,pink,cozy comfortable
116,fashionpedia_000116.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,trendy streetwear
117,fashionpedia_000117.jpg,14,casual hoodie or t-shirt,park outdoors,formal blazer or button-down shirt,brown,casual relaxed
118,fashionpedia_000118.jpg,6,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,gray,trendy streetwear
119,fashionpedia_000119.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,casual relaxed
120,fashionpedia_000120.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,casual relaxed
121,fashionpedia_000121.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,gray,professional formal
122,fashionpedia_000122.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
123,fashionpedia_000123.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,casual relaxed
